"trainer/global_step","best style a mix - _step","best style a mix - _step__MIN","best style a mix - _step__MAX","best style a mix - train_eiko_epoch","best style a mix - train_eiko_epoch__MIN","best style a mix - train_eiko_epoch__MAX","best curve a mix - _step","best curve a mix - _step__MIN","best curve a mix - _step__MAX","best curve a mix - train_eiko_epoch","best curve a mix - train_eiko_epoch__MIN","best curve a mix - train_eiko_epoch__MAX","best curve a meta - _step","best curve a meta - _step__MIN","best curve a meta - _step__MAX","best curve a meta - train_eiko_epoch","best curve a meta - train_eiko_epoch__MIN","best curve a meta - train_eiko_epoch__MAX","best style a meta - _step","best style a meta - _step__MIN","best style a meta - _step__MAX","best style a meta - train_eiko_epoch","best style a meta - train_eiko_epoch__MIN","best style a meta - train_eiko_epoch__MAX"
"30750","30750","30750","30750","0.0004457950279756915","0.0004457950279756915","0.0004457950279756915","30750","30750","30750","0.002298824709141627","0.002298824709141627","0.002298824709141627","30750","30750","30750","0.0039749703763518485","0.0039749703763518485","0.0039749703763518485","30750","30750","30750","0.0007434365051449276","0.0007434365051449276","0.0007434365051449276"
"31000","31000","31000","31000","0.00044384894720860755","0.00044384894720860755","0.00044384894720860755","31000","31000","31000","0.002470876356586814","0.002470876356586814","0.002470876356586814","31000","31000","31000","0.004001236753538251","0.004001236753538251","0.004001236753538251","31000","31000","31000","0.0007407358065247535","0.0007407358065247535","0.0007407358065247535"
"31250","31250","31250","31250","0.000437830654787831","0.000437830654787831","0.000437830654787831","31250","31250","31250","0.0023745396826416252","0.0023745396826416252","0.0023745396826416252","31250","31250","31250","0.003943890272174031","0.003943890272174031","0.003943890272174031","31250","31250","31250","0.002116737837088294","0.002116737837088294","0.002116737837088294"
"31500","31500","31500","31500","0.00044175478804390876","0.00044175478804390876","0.00044175478804390876","31500","31500","31500","0.002269880388630554","0.002269880388630554","0.002269880388630554","31500","31500","31500","0.004210728453937918","0.004210728453937918","0.004210728453937918","31500","31500","31500","0.0008853312731953338","0.0008853312731953338","0.0008853312731953338"
"31750","31750","31750","31750","0.0004422309253131971","0.0004422309253131971","0.0004422309253131971","31750","31750","31750","0.002252493862994015","0.002252493862994015","0.002252493862994015","31750","31750","31750","0.003981790772406384","0.003981790772406384","0.003981790772406384","31750","31750","31750","0.0007960273849894293","0.0007960273849894293","0.0007960273849894293"
"32000","32000","32000","32000","0.00043299358000513166","0.00043299358000513166","0.00043299358000513166","32000","32000","32000","0.0022962956127012147","0.0022962956127012147","0.0022962956127012147","32000","32000","32000","0.0039045219307299703","0.0039045219307299703","0.0039045219307299703","32000","32000","32000","0.0007701581371948123","0.0007701581371948123","0.0007701581371948123"
"32250","32250","32250","32250","0.000457144258369226","0.000457144258369226","0.000457144258369226","32250","32250","32250","0.0022573443439323454","0.0022573443439323454","0.0022573443439323454","32250","32250","32250","0.0038991532574873416","0.0038991532574873416","0.0038991532574873416","32250","32250","32250","0.000757144876406528","0.000757144876406528","0.000757144876406528"
"32500","32500","32500","32500","0.0004416837147145998","0.0004416837147145998","0.0004416837147145998","32500","32500","32500","0.002422125486191362","0.002422125486191362","0.002422125486191362","32500","32500","32500","0.003881896235048771","0.003881896235048771","0.003881896235048771","32500","32500","32500","0.0007441063932492397","0.0007441063932492397","0.0007441063932492397"
"32750","32750","32750","32750","0.000652893783437321","0.000652893783437321","0.000652893783437321","32750","32750","32750","0.002288510601269081","0.002288510601269081","0.002288510601269081","32750","32750","32750","0.004324674307368695","0.004324674307368695","0.004324674307368695","32750","32750","32750","0.0007334111672826112","0.0007334111672826112","0.0007334111672826112"
"33000","33000","33000","33000","0.00044649012829177083","0.00044649012829177083","0.00044649012829177083","33000","33000","33000","0.0022232207676861435","0.0022232207676861435","0.0022232207676861435","33000","33000","33000","0.004011971167288721","0.004011971167288721","0.004011971167288721","33000","33000","33000","0.0007305963227991015","0.0007305963227991015","0.0007305963227991015"
"33250","33250","33250","33250","0.0004317572551954072","0.0004317572551954072","0.0004317572551954072","33250","33250","33250","0.002239612967474386","0.002239612967474386","0.002239612967474386","33250","33250","33250","0.0038497601519338785","0.0038497601519338785","0.0038497601519338785","33250","33250","33250","0.0007247991256881506","0.0007247991256881506","0.0007247991256881506"
"33500","33500","33500","33500","0.00043189694196917115","0.00043189694196917115","0.00043189694196917115","33500","33500","33500","0.002236653506872244","0.002236653506872244","0.002236653506872244","33500","33500","33500","0.0038253794254269453","0.0038253794254269453","0.0038253794254269453","33500","33500","33500","0.0007220900183310732","0.0007220900183310732","0.0007220900183310732"
"33750","33750","33750","33750","0.0004507316212693695","0.0004507316212693695","0.0004507316212693695","33750","33750","33750","0.0022672095857560635","0.0022672095857560635","0.0022672095857560635","33750","33750","33750","0.003830751152941957","0.003830751152941957","0.003830751152941957","33750","33750","33750","0.000720981769845821","0.000720981769845821","0.000720981769845821"
"34000","34000","34000","34000","0.0004305792541417759","0.0004305792541417759","0.0004305792541417759","34000","34000","34000","0.002232287326827645","0.002232287326827645","0.002232287326827645","34000","34000","34000","0.0038091769192833452","0.0038091769192833452","0.0038091769192833452","34000","34000","34000","0.0007224358622916042","0.0007224358622916042","0.0007224358622916042"
"34250","34250","34250","34250","0.00043337860028259457","0.00043337860028259457","0.00043337860028259457","34250","34250","34250","0.0022152498033829035","0.0022152498033829035","0.0022152498033829035","34250","34250","34250","0.0038030821746215223","0.0038030821746215223","0.0038030821746215223","34250","34250","34250","0.0007157467479701154","0.0007157467479701154","0.0007157467479701154"
"34500","34500","34500","34500","0.0004242657861323096","0.0004242657861323096","0.0004242657861323096","34500","34500","34500","0.0022226291871629655","0.0022226291871629655","0.0022226291871629655","34500","34500","34500","0.0037585838127415627","0.0037585838127415627","0.0037585838127415627","34500","34500","34500","0.00071564880508231","0.00071564880508231","0.00071564880508231"
"34750","34750","34750","34750","0.0004205960296385456","0.0004205960296385456","0.0004205960296385456","34750","34750","34750","0.0023099468724103647","0.0023099468724103647","0.0023099468724103647","34750","34750","34750","0.0037520664511248468","0.0037520664511248468","0.0037520664511248468","34750","34750","34750","0.000713920793205034","0.000713920793205034","0.000713920793205034"
"35000","35000","35000","35000","0.0004237962680635974","0.0004237962680635974","0.0004237962680635974","35000","35000","35000","0.0022641877486603334","0.0022641877486603334","0.0022641877486603334","35000","35000","35000","0.0038269431998487562","0.0038269431998487562","0.0038269431998487562","35000","35000","35000","0.000713907597004436","0.000713907597004436","0.000713907597004436"
"35250","35250","35250","35250","0.0007094485168927349","0.0007094485168927349","0.0007094485168927349","35250","35250","35250","0.002224089857772924","0.002224089857772924","0.002224089857772924","35250","35250","35250","0.0037278152154758574","0.0037278152154758574","0.0037278152154758574","35250","35250","35250","0.0007116230425890535","0.0007116230425890535","0.0007116230425890535"
"35500","35500","35500","35500","0.0005249141901731491","0.0005249141901731491","0.0005249141901731491","35500","35500","35500","0.00229439772258047","0.00229439772258047","0.00229439772258047","35500","35500","35500","0.0037092317410279065","0.0037092317410279065","0.0037092317410279065","35500","35500","35500","0.0007100489389849827","0.0007100489389849827","0.0007100489389849827"
"35750","35750","35750","35750","0.0004660330570768565","0.0004660330570768565","0.0004660330570768565","35750","35750","35750","0.002211025161901489","0.002211025161901489","0.002211025161901489","35750","35750","35750","0.003728733115363866","0.003728733115363866","0.003728733115363866","35750","35750","35750","0.0007043909506173804","0.0007043909506173804","0.0007043909506173804"
"36000","36000","36000","36000","0.0004421405536413658","0.0004421405536413658","0.0004421405536413658","36000","36000","36000","0.0022911212664330377","0.0022911212664330377","0.0022911212664330377","36000","36000","36000","0.0036913223047740757","0.0036913223047740757","0.0036913223047740757","36000","36000","36000","0.0007003265970852225","0.0007003265970852225","0.0007003265970852225"
"36250","36250","36250","36250","0.00043044847832061353","0.00043044847832061353","0.00043044847832061353","36250","36250","36250","0.0021762525781523438","0.0021762525781523438","0.0021762525781523438","36250","36250","36250","0.0036850527978967876","0.0036850527978967876","0.0036850527978967876","36250","36250","36250","0.0007087173730833456","0.0007087173730833456","0.0007087173730833456"
"36500","36500","36500","36500","0.00042322120995959267","0.00042322120995959267","0.00042322120995959267","36500","36500","36500","0.002213946496602148","0.002213946496602148","0.002213946496602148","36500","36500","36500","0.003659356457879767","0.003659356457879767","0.003659356457879767","36500","36500","36500","0.0007000040206476115","0.0007000040206476115","0.0007000040206476115"
"36750","36750","36750","36750","0.00043267690256470814","0.00043267690256470814","0.00043267690256470814","36750","36750","36750","0.002208408541511744","0.002208408541511744","0.002208408541511744","36750","36750","36750","0.0036937048216350377","0.0036937048216350377","0.0036937048216350377","36750","36750","36750","0.0006943889016984031","0.0006943889016984031","0.0006943889016984031"
"37000","37000","37000","37000","0.0004187341112119611","0.0004187341112119611","0.0004187341112119611","37000","37000","37000","0.0022266037833178418","0.0022266037833178418","0.0022266037833178418","37000","37000","37000","0.0036533941314555703","0.0036533941314555703","0.0036533941314555703","37000","37000","37000","0.000689472095516976","0.000689472095516976","0.000689472095516976"
"37250","37250","37250","37250","0.0004205474425689317","0.0004205474425689317","0.0004205474425689317","37250","37250","37250","0.0021805507838726043","0.0021805507838726043","0.0021805507838726043","37250","37250","37250","0.003744858288904652","0.003744858288904652","0.003744858288904652","37250","37250","37250","0.0007073537050746381","0.0007073537050746381","0.0007073537050746381"
"37500","37500","37500","37500","0.00041591544105904177","0.00041591544105904177","0.00041591544105904177","37500","37500","37500","0.0021729555884376166","0.0021729555884376166","0.0021729555884376166","37500","37500","37500","0.0036447688844054938","0.0036447688844054938","0.0036447688844054938","37500","37500","37500","0.0006871123437886126","0.0006871123437886126","0.0006871123437886126"
"37750","37750","37750","37750","0.0004396642767242156","0.0004396642767242156","0.0004396642767242156","37750","37750","37750","0.002251068403827958","0.002251068403827958","0.002251068403827958","37750","37750","37750","0.0036365391751751303","0.0036365391751751303","0.0036365391751751303","37750","37750","37750","0.0006844708772841841","0.0006844708772841841","0.0006844708772841841"
"38000","38000","38000","38000","0.00041784175604698247","0.00041784175604698247","0.00041784175604698247","38000","38000","38000","0.0022862501187482847","0.0022862501187482847","0.0022862501187482847","38000","38000","38000","0.004504602704080753","0.004504602704080753","0.004504602704080753","38000","38000","38000","0.000679469131573569","0.000679469131573569","0.000679469131573569"
"38250","38250","38250","38250","0.0005388818299397826","0.0005388818299397826","0.0005388818299397826","38250","38250","38250","0.002175872952211648","0.002175872952211648","0.002175872952211648","38250","38250","38250","0.00368371419608593","0.00368371419608593","0.00368371419608593","38250","38250","38250","0.0006784798998851329","0.0006784798998851329","0.0006784798998851329"
"38500","38500","38500","38500","0.0004644163817865774","0.0004644163817865774","0.0004644163817865774","38500","38500","38500","0.002236359331989661","0.002236359331989661","0.002236359331989661","38500","38500","38500","0.0035938733140937983","0.0035938733140937983","0.0035938733140937983","38500","38500","38500","0.0006760711806709878","0.0006760711806709878","0.0006760711806709878"
"38750","38750","38750","38750","0.0006438185972510837","0.0006438185972510837","0.0006438185972510837","38750","38750","38750","0.0021761049963533877","0.0021761049963533877","0.0021761049963533877","38750","38750","38750","0.0035598929321859034","0.0035598929321859034","0.0035598929321859034","38750","38750","38750","0.0006766204422456213","0.0006766204422456213","0.0006766204422456213"
"39000","39000","39000","39000","0.00047431254043476655","0.00047431254043476655","0.00047431254043476655","39000","39000","39000","0.0023878058572299778","0.0023878058572299778","0.0023878058572299778","39000","39000","39000","0.0035397296268492935","0.0035397296268492935","0.0035397296268492935","39000","39000","39000","0.0006706433643703349","0.0006706433643703349","0.0006706433643703349"
"39250","39250","39250","39250","0.0004303109599277377","0.0004303109599277377","0.0004303109599277377","39250","39250","39250","0.0021706054505193605","0.0021706054505193605","0.0021706054505193605","39250","39250","39250","0.003523568315198645","0.003523568315198645","0.003523568315198645","39250","39250","39250","0.0006724042721907609","0.0006724042721907609","0.0006724042721907609"
"39500","39500","39500","39500","0.0004187285727239214","0.0004187285727239214","0.0004187285727239214","39500","39500","39500","0.002209256790112704","0.002209256790112704","0.002209256790112704","39500","39500","39500","0.003494704843033105","0.003494704843033105","0.003494704843033105","39500","39500","39500","0.000662549807690084","0.000662549807690084","0.000662549807690084"
"39750","39750","39750","39750","0.00041324528981931505","0.00041324528981931505","0.00041324528981931505","39750","39750","39750","0.002139934656675905","0.002139934656675905","0.002139934656675905","39750","39750","39750","0.003506426292238757","0.003506426292238757","0.003506426292238757","39750","39750","39750","0.0006607435858459212","0.0006607435858459212","0.0006607435858459212"
"40000","40000","40000","40000","0.0004109969798300881","0.0004109969798300881","0.0004109969798300881","40000","40000","40000","0.0021909044494386764","0.0021909044494386764","0.0021909044494386764","40000","40000","40000","0.0034953698932658882","0.0034953698932658882","0.0034953698932658882","40000","40000","40000","0.0006578107243985869","0.0006578107243985869","0.0006578107243985869"
"40250","40250","40250","40250","0.00041628425056114795","0.00041628425056114795","0.00041628425056114795","40250","40250","40250","0.002119220874737948","0.002119220874737948","0.002119220874737948","40250","40250","40250","0.0037266036896035073","0.0037266036896035073","0.0037266036896035073","40250","40250","40250","0.0033652327104937286","0.0033652327104937286","0.0033652327104937286"
"40500","40500","40500","40500","0.00040854631815454923","0.00040854631815454923","0.00040854631815454923","40500","40500","40500","0.0021324158194474876","0.0021324158194474876","0.0021324158194474876","40500","40500","40500","0.0035595514276064934","0.0035595514276064934","0.0035595514276064934","40500","40500","40500","0.0009471081838710233","0.0009471081838710233","0.0009471081838710233"
"40750","40750","40750","40750","0.00040617652123910375","0.00040617652123910375","0.00040617652123910375","40750","40750","40750","0.0022108212277526036","0.0022108212277526036","0.0022108212277526036","40750","40750","40750","0.0034636969501152634","0.0034636969501152634","0.0034636969501152634","40750","40750","40750","0.0008165805268799887","0.0008165805268799887","0.0008165805268799887"
"41000","41000","41000","41000","0.0004123207791999448","0.0004123207791999448","0.0004123207791999448","41000","41000","41000","0.0021231469647027554","0.0021231469647027554","0.0021231469647027554","41000","41000","41000","0.0035924319862388073","0.0035924319862388073","0.0035924319862388073","41000","41000","41000","0.0007655652536195703","0.0007655652536195703","0.0007655652536195703"
"41250","41250","41250","41250","0.0004070782361377496","0.0004070782361377496","0.0004070782361377496","41250","41250","41250","0.002195914932759479","0.002195914932759479","0.002195914932759479","41250","41250","41250","0.003454630773514509","0.003454630773514509","0.003454630773514509","41250","41250","41250","0.0007368011231301352","0.0007368011231301352","0.0007368011231301352"
"41500","41500","41500","41500","0.00041320813665515744","0.00041320813665515744","0.00041320813665515744","41500","41500","41500","0.0021578287868760527","0.0021578287868760527","0.0021578287868760527","41500","41500","41500","0.003442886937176809","0.003442886937176809","0.003442886937176809","41500","41500","41500","0.0007157637610216625","0.0007157637610216625","0.0007157637610216625"
"41750","41750","41750","41750","0.0004124257959192619","0.0004124257959192619","0.0004124257959192619","41750","41750","41750","0.002136433233274147","0.002136433233274147","0.002136433233274147","41750","41750","41750","0.003448357259389013","0.003448357259389013","0.003448357259389013","41750","41750","41750","0.0007039127214811742","0.0007039127214811742","0.0007039127214811742"
"42000","42000","42000","42000","0.00040914202335989104","0.00040914202335989104","0.00040914202335989104","42000","42000","42000","0.00209605219704099","0.00209605219704099","0.00209605219704099","42000","42000","42000","0.00348603439796716","0.00348603439796716","0.00348603439796716","42000","42000","42000","0.0006965608649188653","0.0006965608649188653","0.0006965608649188653"
"42250","42250","42250","42250","0.0004043803244130686","0.0004043803244130686","0.0004043803244130686","42250","42250","42250","0.002139568752842024","0.002139568752842024","0.002139568752842024","42250","42250","42250","0.0034180223767179994","0.0034180223767179994","0.0034180223767179994","42250","42250","42250","0.0006862573089892976","0.0006862573089892976","0.0006862573089892976"
"42500","42500","42500","42500","0.0004206397293601185","0.0004206397293601185","0.0004206397293601185","42500","42500","42500","0.002123274393612519","0.002123274393612519","0.002123274393612519","42500","42500","42500","0.003426301716826856","0.003426301716826856","0.003426301716826856","42500","42500","42500","0.0006813979049911722","0.0006813979049911722","0.0006813979049911722"
"42750","42750","42750","42750","0.0004450298238079995","0.0004450298238079995","0.0004450298238079995","42750","42750","42750","0.002121733648702502","0.002121733648702502","0.002121733648702502","42750","42750","42750","0.0034164834648836404","0.0034164834648836404","0.0034164834648836404","42750","42750","42750","0.0006771593222511001","0.0006771593222511001","0.0006771593222511001"
"43000","43000","43000","43000","0.000406011906452477","0.000406011906452477","0.000406011906452477","43000","43000","43000","0.0021171817569993435","0.0021171817569993435","0.0021171817569993435","43000","43000","43000","0.003400357451522723","0.003400357451522723","0.003400357451522723","43000","43000","43000","0.0006718295958125964","0.0006718295958125964","0.0006718295958125964"
"43250","43250","43250","43250","0.0004291624889010563","0.0004291624889010563","0.0004291624889010563","43250","43250","43250","0.0021383782781194895","0.0021383782781194895","0.0021383782781194895","43250","43250","43250","0.00439011000120081","0.00439011000120081","0.00439011000120081","43250","43250","43250","0.0006762971838470548","0.0006762971838470548","0.0006762971838470548"
"43500","43500","43500","43500","0.00041528086765902115","0.00041528086765902115","0.00041528086765902115","43500","43500","43500","0.002246371591463685","0.002246371591463685","0.002246371591463685","43500","43500","43500","0.0035705661054234953","0.0035705661054234953","0.0035705661054234953","43500","43500","43500","0.0006633896532584913","0.0006633896532584913","0.0006633896532584913"
"43750","43750","43750","43750","0.0004379911813302897","0.0004379911813302897","0.0004379911813302897","43750","43750","43750","0.0021167154355207457","0.0021167154355207457","0.0021167154355207457","43750","43750","43750","0.003415336014702916","0.003415336014702916","0.003415336014702916","43750","43750","43750","0.0006636661474476569","0.0006636661474476569","0.0006636661474476569"
"44000","44000","44000","44000","0.0004289353026833851","0.0004289353026833851","0.0004289353026833851","44000","44000","44000","0.0020880522944498807","0.0020880522944498807","0.0020880522944498807","44000","44000","44000","0.003434713612543419","0.003434713612543419","0.003434713612543419","44000","44000","44000","0.00066176520352019","0.00066176520352019","0.00066176520352019"
"44250","44250","44250","44250","0.000448770405666437","0.000448770405666437","0.000448770405666437","44250","44250","44250","0.002341267787036486","0.002341267787036486","0.002341267787036486","44250","44250","44250","0.0033692101784981786","0.0033692101784981786","0.0033692101784981786","44250","44250","44250","0.0006594156927312724","0.0006594156927312724","0.0006594156927312724"
"44500","44500","44500","44500","0.0005342660202877596","0.0005342660202877596","0.0005342660202877596","44500","44500","44500","0.0021065946877934037","0.0021065946877934037","0.0021065946877934037","44500","44500","44500","0.003334361950866878","0.003334361950866878","0.003334361950866878","44500","44500","44500","0.0006548265488818288","0.0006548265488818288","0.0006548265488818288"
"44750","44750","44750","44750","0.00043547261084313503","0.00043547261084313503","0.00043547261084313503","44750","44750","44750","0.0021074071798939257","0.0021074071798939257","0.0021074071798939257","44750","44750","44750","0.0033373472637031228","0.0033373472637031228","0.0033373472637031228","44750","44750","44750","0.0006545095398905687","0.0006545095398905687","0.0006545095398905687"
"45000","45000","45000","45000","0.0004146442530327477","0.0004146442530327477","0.0004146442530327477","45000","45000","45000","0.0021081731237936763","0.0021081731237936763","0.0021081731237936763","45000","45000","45000","0.0033617320253979417","0.0033617320253979417","0.0033617320253979417","45000","45000","45000","0.0006525006149313413","0.0006525006149313413","0.0006525006149313413"
"45250","45250","45250","45250","0.000406402673717821","0.000406402673717821","0.000406402673717821","45250","45250","45250","0.002107698450679891","0.002107698450679891","0.002107698450679891","45250","45250","45250","0.00330212356406264","0.00330212356406264","0.00330212356406264","45250","45250","45250","0.0006484405545634218","0.0006484405545634218","0.0006484405545634218"
"45500","45500","45500","45500","0.0004008178518852219","0.0004008178518852219","0.0004008178518852219","45500","45500","45500","0.002091809750767425","0.002091809750767425","0.002091809750767425","45500","45500","45500","0.003351615248713642","0.003351615248713642","0.003351615248713642","45500","45500","45500","0.000647287150437478","0.000647287150437478","0.000647287150437478"
"45750","45750","45750","45750","0.0003986772055213805","0.0003986772055213805","0.0003986772055213805","45750","45750","45750","0.0020960789558012037","0.0020960789558012037","0.0020960789558012037","45750","45750","45750","0.0033287992463447154","0.0033287992463447154","0.0033287992463447154","45750","45750","45750","0.0006469105528667569","0.0006469105528667569","0.0006469105528667569"
"46000","46000","46000","46000","0.0003984502130188048","0.0003984502130188048","0.0003984502130188048","46000","46000","46000","0.0020883239055983723","0.0020883239055983723","0.0020883239055983723","46000","46000","46000","0.0033458828165894372","0.0033458828165894372","0.0033458828165894372","46000","46000","46000","0.0006407717428519391","0.0006407717428519391","0.0006407717428519391"
"46250","46250","46250","46250","0.000397771514573833","0.000397771514573833","0.000397771514573833","46250","46250","46250","0.0020732531069079414","0.0020732531069079414","0.0020732531069079414","46250","46250","46250","0.003305382326245308","0.003305382326245308","0.003305382326245308","46250","46250","46250","0.0006526884692138992","0.0006526884692138992","0.0006526884692138992"
"46500","46500","46500","46500","0.00039488144652568733","0.00039488144652568733","0.00039488144652568733","46500","46500","46500","0.0021072689788416026","0.0021072689788416026","0.0021072689788416026","46500","46500","46500","0.0033225998575799167","0.0033225998575799167","0.0033225998575799167","46500","46500","46500","0.0006324885821668431","0.0006324885821668431","0.0006324885821668431"
"46750","46750","46750","46750","0.0005514512835652568","0.0005514512835652568","0.0005514512835652568","46750","46750","46750","0.0020923222568817435","0.0020923222568817435","0.0020923222568817435","46750","46750","46750","0.0033056294484995305","0.0033056294484995305","0.0033056294484995305","46750","46750","46750","0.0006347440134850331","0.0006347440134850331","0.0006347440134850331"
"47000","47000","47000","47000","0.00042892211687285453","0.00042892211687285453","0.00042892211687285453","47000","47000","47000","0.002082278287736699","0.002082278287736699","0.002082278287736699","47000","47000","47000","0.00328797639394179","0.00328797639394179","0.00328797639394179","47000","47000","47000","0.0006290500199538655","0.0006290500199538655","0.0006290500199538655"
"47250","47250","47250","47250","0.00040545608100364916","0.00040545608100364916","0.00040545608100364916","47250","47250","47250","0.002080278097419068","0.002080278097419068","0.002080278097419068","47250","47250","47250","0.003280348293716088","0.003280348293716088","0.003280348293716088","47250","47250","47250","0.0006284800643334165","0.0006284800643334165","0.0006284800643334165"
"47500","47500","47500","47500","0.0003990601575642359","0.0003990601575642359","0.0003990601575642359","47500","47500","47500","0.0021169117423705756","0.0021169117423705756","0.0021169117423705756","47500","47500","47500","0.003665678803343326","0.003665678803343326","0.003665678803343326","47500","47500","47500","0.0006369565658387728","0.0006369565658387728","0.0006369565658387728"
"47750","47750","47750","47750","0.0005946328908321448","0.0005946328908321448","0.0005946328908321448","47750","47750","47750","0.0020819493599701674","0.0020819493599701674","0.0020819493599701674","47750","47750","47750","0.003399473031051457","0.003399473031051457","0.003399473031051457","47750","47750","47750","0.0006210688819992356","0.0006210688819992356","0.0006210688819992356"
"48000","48000","48000","48000","0.0004540316551865544","0.0004540316551865544","0.0004540316551865544","48000","48000","48000","0.002161830739234574","0.002161830739234574","0.002161830739234574","48000","48000","48000","0.0032875945613486694","0.0032875945613486694","0.0032875945613486694","48000","48000","48000","0.0006294528361177072","0.0006294528361177072","0.0006294528361177072"
"48250","48250","48250","48250","0.0004160740351653658","0.0004160740351653658","0.0004160740351653658","48250","48250","48250","0.0020740304565988483","0.0020740304565988483","0.0020740304565988483","48250","48250","48250","0.0032351331277750434","0.0032351331277750434","0.0032351331277750434","48250","48250","48250","0.0006204603056539781","0.0006204603056539781","0.0006204603056539781"
"48500","48500","48500","48500","0.00040433864173246547","0.00040433864173246547","0.00040433864173246547","48500","48500","48500","0.002142932053655386","0.002142932053655386","0.002142932053655386","48500","48500","48500","0.0032253889963030813","0.0032253889963030813","0.0032253889963030813","48500","48500","48500","0.0006190270655206404","0.0006190270655206404","0.0006190270655206404"
"48750","48750","48750","48750","0.00039873645108309575","0.00039873645108309575","0.00039873645108309575","48750","48750","48750","0.0020604180569062007","0.0020604180569062007","0.0020604180569062007","48750","48750","48750","0.003208359750569798","0.003208359750569798","0.003208359750569798","48750","48750","48750","0.0006126596685498953","0.0006126596685498953","0.0006126596685498953"
"49000","49000","49000","49000","0.0003927245317318011","0.0003927245317318011","0.0003927245317318011","49000","49000","49000","0.002076128273503855","0.002076128273503855","0.002076128273503855","49000","49000","49000","0.0032376485276035963","0.0032376485276035963","0.0032376485276035963","49000","49000","49000","0.0006197874704957939","0.0006197874704957939","0.0006197874704957939"
"49250","49250","49250","49250","0.0003956608584849164","0.0003956608584849164","0.0003956608584849164","49250","49250","49250","0.0020894166766665875","0.0020894166766665875","0.0020894166766665875","49250","49250","49250","0.003213730030693114","0.003213730030693114","0.003213730030693114","49250","49250","49250","0.0006121149490354583","0.0006121149490354583","0.0006121149490354583"
"49500","49500","49500","49500","0.0003940948559902608","0.0003940948559902608","0.0003940948559902608","49500","49500","49500","0.0020455796213354914","0.0020455796213354914","0.0020455796213354914","49500","49500","49500","0.0032055339007638394","0.0032055339007638394","0.0032055339007638394","49500","49500","49500","0.0006085275315272156","0.0006085275315272156","0.0006085275315272156"
"49750","49750","49750","49750","0.00038913638959638775","0.00038913638959638775","0.00038913638959638775","49750","49750","49750","0.0020870086222421376","0.0020870086222421376","0.0020870086222421376","49750","49750","49750","0.003213078090455383","0.003213078090455383","0.003213078090455383","49750","49750","49750","0.000610538289824035","0.000610538289824035","0.000610538289824035"
"50001","50001","50001","50001","0.00039361780232866295","0.00039361780232866295","0.00039361780232866295","50001","50001","50001","0.0020588827228639273","0.0020588827228639273","0.0020588827228639273","50001","50001","50001","0.0031740102963522076","0.0031740102963522076","0.0031740102963522076","50001","50001","50001","0.00060600636707386","0.00060600636707386","0.00060600636707386"
"50250","50250","50250","50250","0.0003901041552890092","0.0003901041552890092","0.0003901041552890092","50250","50250","50250","0.002054804322309792","0.002054804322309792","0.002054804322309792","50250","50250","50250","0.003221802628133446","0.003221802628133446","0.003221802628133446","50250","50250","50250","0.0006046232199878431","0.0006046232199878431","0.0006046232199878431"
"50500","50500","50500","50500","0.00039004441697034056","0.00039004441697034056","0.00039004441697034056","50500","50500","50500","0.002052484148647636","0.002052484148647636","0.002052484148647636","50500","50500","50500","0.0031659735925495622","0.0031659735925495622","0.0031659735925495622","50500","50500","50500","0.0006007208135561087","0.0006007208135561087","0.0006007208135561087"
"50750","50750","50750","50750","0.00040187615892500614","0.00040187615892500614","0.00040187615892500614","50750","50750","50750","0.0020647236098302528","0.0020647236098302528","0.0020647236098302528","50750","50750","50750","0.0031708096410147848","0.0031708096410147848","0.0031708096410147848","50750","50750","50750","0.0006027524190139957","0.0006027524190139957","0.0006027524190139957"
"51000","51000","51000","51000","0.0003901615593349561","0.0003901615593349561","0.0003901615593349561","51000","51000","51000","0.0020331921016331763","0.0020331921016331763","0.0020331921016331763","51000","51000","51000","0.0032420306659769267","0.0032420306659769267","0.0032420306659769267","51000","51000","51000","0.0005970858714426868","0.0005970858714426868","0.0005970858714426868"
"51250","51250","51250","51250","0.00038693509495351465","0.00038693509495351465","0.00038693509495351465","51250","51250","51250","0.0021357149017276244","0.0021357149017276244","0.0021357149017276244","51250","51250","51250","0.0031618313897633925","0.0031618313897633925","0.0031618313897633925","51250","51250","51250","0.000598272260511294","0.000598272260511294","0.000598272260511294"
"51500","51500","51500","51500","0.0003864901180495508","0.0003864901180495508","0.0003864901180495508","51500","51500","51500","0.002031319742789492","0.002031319742789492","0.002031319742789492","51500","51500","51500","0.0031590625236276536","0.0031590625236276536","0.0031590625236276536","51500","51500","51500","0.0005954665582976304","0.0005954665582976304","0.0005954665582976304"
"51750","51750","51750","51750","0.00038618618433247323","0.00038618618433247323","0.00038618618433247323","51750","51750","51750","0.00201513724331744","0.00201513724331744","0.00201513724331744","51750","51750","51750","0.003142524520633742","0.003142524520633742","0.003142524520633742","51750","51750","51750","0.0005932692603091709","0.0005932692603091709","0.0005932692603091709"
"52000","52000","52000","52000","0.00038625516928732397","0.00038625516928732397","0.00038625516928732397","52000","52000","52000","0.002148686432745308","0.002148686432745308","0.002148686432745308","52000","52000","52000","0.0031125345637556165","0.0031125345637556165","0.0031125345637556165","52000","52000","52000","0.000591816351399757","0.000591816351399757","0.000591816351399757"
